test_case_id,food_matrix,cheese_category,temperature,packaging,indicator,ingredient,true_shelf_life_days,prediction_days,error_days,abs_error_days,pct_error,ground_truth_type,validation_priority,paper_url
TC095,cheddar,hard,4,sealed_high_barrier,molds,natamycin,20.0,231.8590087890625,211.8590087890625,211.8590087890625,1059.2950439453125,EXACT_OR_LOWER_BOUND,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/12929846/
TC096,cheddar,hard,4,sealed_high_barrier,molds,natamycin,30.0,232.3455810546875,202.3455810546875,202.3455810546875,674.4852701822917,EXACT_OR_LOWER_BOUND,B_LOWER_BOUND,https://pubmed.ncbi.nlm.nih.gov/12929846/
TC033,provolone,semi_hard,4,polyethylene_pouch,peroxide_value,none,65.0,160.85960388183594,95.85960388183594,95.85960388183594,147.47631366436298,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC018,provolone,semi_hard,4,air_permeable_wrap,peroxide_value,none,45.0,140.283935546875,95.283935546875,95.283935546875,211.74207899305557,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC027,provolone,semi_hard,4,sealed_high_barrier,peroxide_value,none,65.0,158.8089141845703,93.80891418457031,93.80891418457031,144.32140643780048,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC021,provolone,semi_hard,4,vacuum,peroxide_value,none,65.0,157.38714599609375,92.38714599609375,92.38714599609375,142.13407076322116,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC034,provolone,semi_hard,4,polyethylene_pouch,sensory_acceptability,none,65.0,155.79811096191406,90.79811096191406,90.79811096191406,139.6894014798678,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC028,provolone,semi_hard,4,sealed_high_barrier,sensory_acceptability,none,65.0,153.8768768310547,88.87687683105469,88.87687683105469,136.73365666316107,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC019,provolone,semi_hard,4,air_permeable_wrap,sensory_acceptability,none,45.0,131.70164489746094,86.70164489746094,86.70164489746094,192.67032199435764,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC022,provolone,semi_hard,4,vacuum,sensory_acceptability,none,65.0,150.83926391601562,85.83926391601562,85.83926391601562,132.06040602463943,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC032,provolone,semi_hard,4,polyethylene_pouch,total_viable_count,none,65.0,150.2742919921875,85.2742919921875,85.2742919921875,131.19121844951923,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC026,provolone,semi_hard,4,sealed_high_barrier,total_viable_count,none,65.0,148.32644653320312,83.32644653320312,83.32644653320312,128.19453312800482,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC017,provolone,semi_hard,4,air_permeable_wrap,total_viable_count,none,45.0,126.41678619384766,81.41678619384766,81.41678619384766,180.92619154188367,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC020,provolone,semi_hard,4,vacuum,total_viable_count,none,65.0,144.1761932373047,79.17619323730469,79.17619323730469,121.80952805739183,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC036,provolone,semi_hard,7,polyethylene_pouch,peroxide_value,none,65.0,134.04373168945312,69.04373168945312,69.04373168945312,106.22112567608173,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC037,provolone,semi_hard,7,polyethylene_pouch,sensory_acceptability,none,65.0,133.8745574951172,68.87455749511719,68.87455749511719,105.96085768479568,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC035,provolone,semi_hard,7,polyethylene_pouch,total_viable_count,none,65.0,133.19862365722656,68.19862365722656,68.19862365722656,104.92095947265625,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC031,provolone,semi_hard,7,sealed_high_barrier,sensory_acceptability,none,65.0,132.80552673339844,67.80552673339844,67.80552673339844,104.31619497445914,EXACT,A_STRICT,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC030,provolone,semi_hard,7,sealed_high_barrier,peroxide_value,none,65.0,132.63327026367188,67.63327026367188,67.63327026367188,104.05118502103366,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC029,provolone,semi_hard,7,sealed_high_barrier,total_viable_count,none,65.0,131.89100646972656,66.89100646972656,66.89100646972656,102.90924072265626,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
TC024,provolone,semi_hard,7,vacuum,peroxide_value,none,65.0,125.33566284179688,60.335662841796875,60.335662841796875,92.8240966796875,EXACT,B_OVERALL_SHELF_LIFE,https://pubmed.ncbi.nlm.nih.gov/26511666/
